anime_id,title_english,type,episodes,rating,rank,popularity,members,source,duration,genre,studio,year
50663,Pop Team Epic Season 2,TV,11.0,7.53,1883.0,3453,47952,4-koma manga,11 min per ep,Comedy,"Kamikaze Douga, Space Neko Company",2022
567,The Big O,TV,26.0,7.53,1892.0,2216,102833,Original,24 min per ep,"Action, Mystery, Sci-Fi",Sunrise,1999
1372,You're Under Arrest (1996),TV,47.0,7.53,1890.0,3816,40510,Manga,24 min per ep,"Action, Comedy",Studio Deen,1996
1557,Shonen Onmyoji,TV,26.0,7.53,1887.0,3120,57859,Light novel,23 min per ep,"Action, Supernatural",Studio Deen,2006
40861,Pokémon: Twilight Wings,ONA,7.0,7.53,1869.0,4908,23206,Game,6 min per ep,"Action, Adventure, Comedy, Fantasy","Studio Colorido, FILMONY",2020
56165,Oblivion Battery,TV,12.0,7.52,1911.0,3626,44198,Manga,23 min per ep,"Comedy, Sports",MAPPA,2024
21327,One Week Friends,TV,12.0,7.52,1920.0,798,326894,4-koma manga,23 min per ep,Drama,Brain's Base,2014
28677,Yamada-kun and the Seven Witches,TV,12.0,7.52,1906.0,250,826957,Manga,24 min per ep,"Comedy, Mystery, Romance, Supernatural",LIDENFILMS,2015
33988,Interviews With Monster Girls,TV,12.0,7.52,1914.0,577,432134,Manga,23 min per ep,"Comedy, Fantasy",A-1 Pictures,2017
41694,Cells at Work! CODE BLACK!,TV,13.0,7.52,1916.0,1116,237157,Manga,23 min per ep,"Action, Drama",LIDENFILMS,2021
36038,Recovery of an MMO Junkie,TV,10.0,7.52,1926.0,490,495433,Web manga,23 min per ep,"Comedy, Romance",Signal.MD,2017
32681,Space Patrol Luluco,TV,13.0,7.52,1903.0,1606,157524,Original,7 min per ep,"Action, Adventure, Comedy, Sci-Fi",Trigger,2016
48965,The Land of Miracles,ONA,15.0,7.52,1900.0,11595,2299,Web novel,21 min per ep,"Action, Fantasy",High Energy Studio,2022
49742,Martial God Asura,ONA,16.0,7.52,1906.0,12411,1795,Novel,16 min per ep,"Action, Fantasy","Original Force, Rocen",2023
8197,Sound of the Sky Specials,Special,2.0,7.52,1901.0,4546,27845,Original,26 min per ep,"Sci-Fi, Slice of Life",A-1 Pictures,2010
44406,"Spare Me, Great Lord!",ONA,12.0,7.52,1912.0,2219,102489,Novel,25 min per ep,"Action, Adventure, Comedy, Fantasy",Big Firebird Culture,2021
209,R.O.D -The TV-,TV,26.0,7.52,1930.0,2772,72165,Manga,25 min per ep,"Action, Adventure, Comedy, Drama, Sci-Fi",J.C.Staff,2003
37497,Iroduku: The World in Colors,TV,13.0,7.52,1919.0,733,351729,Original,24 min per ep,"Drama, Fantasy, Romance",P.A. Works,2018
